Compound,Reference Compound,PelePhysics Key,Weight %,SMILES,FuelLib_kJmol,HoVpred_kJmol
Toluene,toluene,C6H5CH3,0.17,Cc1ccccc1,37.095,39.627262115478516
C2-Benzene,ethyl benzene ,C6H5C2H5,1.1,CCc1ccccc1,41.62,42.10904312133789
C3-Benzene,propyl benzene,C6H5C3H7,2.97,CCCc1ccccc1,46.27,45.24961471557617
C4-Benzene,butyl benzene,C6H5C4H9,3.32,CCCCc1ccccc1,50.92,49.27509689331055
C5-Benzene,pentyl benzene,C6H5C5H11,2.22,CCCCCc1ccccc1,55.57,54.56476593017578
C6-Benzene,hexyl benzene,C6H5C6H13,1.45,CCCCCCc1ccccc1,60.220000000000006,58.28141784667969
C7-Benzene,heptyl benzene,C6H5C7H15,0.73,CCCCCCCc1ccccc1,64.86999999999999,63.673500061035156
C8-Benzene,octyl benzene,C6H5C8H17,0.52,CCCCCCCCc1ccccc1,69.52,69.5553207397461
C9-Benzene,nonyl benzene,C6H5C9H19,0.42,CCCCCCCCCc1ccccc1,74.17,74.3597412109375
Diaromatic-C10,naphthalene,NAPH,0.22,c1ccc2ccccc2c1,64.717,55.22612380981445
Diaromatic-C11,1-methyl naphthalene,METHYLNAPH-1,0.66,Cc1cccc2ccccc12,70.395,59.35818862915039
Diaromatic-C12,1-ethyl naphthalene,ETHYLNAPH-1,0.86,CCc1cccc2ccccc12,74.91999999999999,63.42550277709961
Diaromatic-C13,1-propyl naphthalene,PROPYLNAPH-1,0.6,CCCc1cccc2ccccc12,79.57,68.76518249511719
Cycloaromatic-C09,indane,INDANE,0.02,C1CCc2ccccc12,72.77699999999999,49.71516036987305
Cycloaromatic-C10,tetralin,TETRA,0.26,C1CCC2=CC=CC=C2C1,51.986,53.067691802978516
Cycloaromatic-C11,2-methyl tetralin,METHYLTETRA-2,0.66,CC1CC2=CC=CC=C2CC1,54.223000000000006,51.65397262573242
Cycloaromatic-C12,2-ethly tetralin,ETHYLTETRA-2,0.89,CCC1CC2=CC=CC=C2CC1,58.873,53.37273025512695
Cycloaromatic-C13,2-propyl tetralin,PROPYLTETRA-2,0.85,CCCC1CC2=CC=CC=C2CC1,63.523,58.78607177734375
Cycloaromatic-C14,2-butyl tetralin,BUTYLTETRA-2,0.61,CCCCC1CC2=CC=CC=C2CC1,68.173,62.936492919921875
C07-Isoparaffin,2-methyl hexane,C7H16-2,0.15,CCCCC(C)C,36.190000000000005,34.73293685913086
C08-Isoparaffin,2-methyl heptane,C8H18-2,0.44,CCCCCC(C)C,40.84,40.022247314453125
C09-Isoparaffin,2-methyl octane,C9H20-2,1.05,CCCCCCC(C)C,45.49,44.89264678955078
C10-Isoparaffin,2-methyl nonane,C10H22-2,4.2,CCCCCCCC(C)C,50.14000000000001,49.57643127441406
C11-Isoparaffin,2-methyl decane,C11H24-2,5.7,CCCCCCCCC(C)C,54.790000000000006,53.85085678100586
C12-Isoparaffin,2-methyl undecane,C12H26-2,5.63,CCCCCCCCCC(C)C,59.440000000000005,58.019920349121094
C13-Isoparaffin,2-methyl dodecane,C13H28-2,4.22,CCCCCCCCCCC(C)C,64.09,62.47331619262695
C14-Isoparaffin,2-methyl tridecane,C14H30-2,4.2,CCCCCCCCCCCC(C)C,68.74,67.192626953125
C15-Isoparaffin,2-methyl tetradecane,C15H32-2,2.51,CCCCCCCCCCCCC(C)C,73.39,71.68331146240234
C16-Isoparaffin,2-methyl pentadecane,C16H34-2,1.0,CCCCCCCCCCCCCC(C)C,78.03999999999999,76.65095520019531
C17-Isoparaffin,2-methyl hexadecane,C17H36-2,0.39,CCCCCCCCCCCCCCC(C)C,82.69,81.46343231201172
C18-Isoparaffin,2-methyl heptadecane,C18H38-2,0.11,CCCCCCCCCCCCCCCC(C)C,87.34,86.04513549804688
C19-Isoparaffin,2-methyl octadecane,C19H40-2,0.03,CCCCCCCCCCCCCCCCC(C)C,91.99,90.14456176757812
C20-Isoparaffin,2-methyl nonadecane,C20H42-2,0.03,CCCCCCCCCCCCCCCCCC(C)C,96.64,93.83404541015625
n-C07,n-heptane,NC7H16,0.17,CCCCCCC,38.311,36.2994384765625
n-C08,n-octane,NC8H18,0.54,CCCCCCCC,42.961000000000006,40.653472900390625
n-C09,n-nonane,NC9H20,1.42,CCCCCCCCC,47.611000000000004,45.419010162353516
n-C10,n-decane,NC10H22,3.26,CCCCCCCCCC,52.261,50.17314147949219
n-C11,n-undecane,NC11H24,4.29,CCCCCCCCCCC,56.911,54.49629592895508
n-C12,n-dodecane,NC12H26,3.74,CCCCCCCCCCCC,61.561,58.55056381225586
n-C13,n-tridecane,NC13H28,2.8,CCCCCCCCCCCCC,66.211,63.709556579589844
n-C14,n-tetradecane,NC14H30,2.02,CCCCCCCCCCCCCC,70.861,68.89934539794922
n-C15,n-pentadecane,NC15H32,1.03,CCCCCCCCCCCCCCC,75.511,74.38375091552734
n-C16,n-hexadecane (cetane),NC16H34,0.43,CCCCCCCCCCCCCCCC,80.161,79.18260192871094
n-C17,n-heptadecane,NC17H36,0.21,CCCCCCCCCCCCCCCCC,84.811,83.68106842041016
n-C18,n-octadecane,NC18H38,0.06,CCCCCCCCCCCCCCCCCC,89.461,88.11527252197266
C07-Monocycloparaffin,methyl cyclohexane,C6H11CH3,0.36,CC1CCCCC1,36.061,35.125205993652344
C08-Monocycloparaffin,ethyl cyclohexane,C6H11C2H5,0.78,CCC1CCCCC1,40.711000000000006,41.09221267700195
C09-Monocycloparaffin,propyl cyclohexane,C6H11C3H7,2.3,CCCC1CCCCC1,45.361000000000004,46.34974670410156
C10-Monocycloparaffin,butyl cyclohexane,C6H11C4H9,4.11,CCCCC1CCCCC1,50.011,50.77815246582031
C11-Monocycloparaffin,pentyl cyclohexane,C6H11C5H11,5.43,CCCCCC1CCCCC1,54.661,55.49271011352539
C12-Monocycloparaffin,hexyl cyclohexane,C6H11C6H13,3.73,CCCCCCC1CCCCC1,59.311,60.15909194946289
C13-Monocycloparaffin,heptyl cyclohexane,C6H11C7H15,4.19,CCCCCCCC1CCCCC1,63.961000000000006,65.8544921875
C14-Monocycloparaffin,octyl cyclohexane,C6H11C8H17,2.19,CCCCCCCCC1CCCCC1,68.611,69.5415267944336
C15-Monocycloparaffin,nonyl cyclohexane,C6H11C9H19,1.33,CCCCCCCCCC1CCCCC1,73.261,72.69696044921875
C16-Monocycloparaffin,decyl cyclohexane,C6H11C10H21,0.42,CCCCCCCCCCC1CCCCC1,77.911,76.57626342773438
C17-Monocycloparaffin,undecyl cyclohexane,C6H11C11H23,0.24,CCCCCCCCCCCC1CCCCC1,82.561,80.67776489257812
C08-Dicycloparaffin,Octahydropentalene,OHPEN,0.03,C1CC2CCCC2C1,39.135,45.217384338378906
C09-Dicycloparaffin,Hydrindane,HYDRIND,0.43,C1CCC2CCCC2C1,43.44800000000001,51.06230545043945
C10-Dicycloparaffin,Decalin,DECALIN,0.72,C1CCC2CCCCC2C1,47.761,48.85263442993164
C11-Dicycloparaffin,2-methyldecalin,METHYLDECALIN-2,1.52,CC1CCC2CCCCC2C1,49.998,57.558719635009766
C12-Dicycloparaffin,2-ethyldecalin,ETHYLDECALIN-2,1.57,CCC1CCC2CCCCC2C1,54.648,56.10372543334961
C13-Dicycloparaffin,2-propyldecalin,PROPYLDECALIN-2,1.21,CCCC1CCC2CCCCC2C1,59.297999999999995,64.60275268554688
C14-Dicycloparaffin,2-butyldecalin,BUTYLDECALIN-2,0.81,CCCCC1CCC2CCCCC2C1,63.948,69.421875
C15-Dicycloparaffin,2-pentyldacalin,PENTYLDECALIN-2,0.27,CCCCCC1CCC2CCCCC2C1,68.598,74.816650390625
C10-Tricycloparaffin,C1CC2C(C1)C1CCCC21,TRICYCLO-C10,0.0,C1CC2C(C1)C1CCCC21,44.677,78.89616394042969
C11-Tricycloparaffin,C1CC2CC3CCCC3C2C1,TRICYCLO-C11,0.16,C1CC2CC3CCCC3C2C1,48.759,50.48073196411133
C12-Tricycloparaffin,C1CC2CC3CCCC3CC2C1,TRICYCLO-C12,0.0,C1CC2CC3CCCC3CC2C1,53.07200000000001,48.760826110839844
